"STATISTIC","Statistic Label","TLIST(A1)","Year","C03530V04258","Sector of Activity","C03066V03701","Size of Enterprise","UNIT","VALUE"
"TSA11C01","Value of Exports","2019","2019","50","Services/other (49-98)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2019","2019","50","Services/other (49-98)","-","All Enterprises","Euro Million","8064"
"TSA11C01","Value of Exports","2019","2019","99","Unknown","05","Micro (0 to 9)","Euro Million",""
"TSA11C01","Value of Exports","2019","2019","99","Unknown","01","Small (10 to 49)","Euro Million",""
"TSA11C01","Value of Exports","2019","2019","99","Unknown","02","Medium (50 to 249)","Euro Million",""
"TSA11C01","Value of Exports","2019","2019","99","Unknown","03","Large (250 or more)","Euro Million",""
"TSA11C01","Value of Exports","2019","2019","99","Unknown","99","Unknown","Euro Million","5421"
"TSA11C01","Value of Exports","2019","2019","99","Unknown","-","All Enterprises","Euro Million","5421"
"TSA11C01","Value of Exports","2019","2019","-","All sectors","05","Micro (0 to 9)","Euro Million","7711"
"TSA11C01","Value of Exports","2019","2019","-","All sectors","01","Small (10 to 49)","Euro Million","5937"
"TSA11C01","Value of Exports","2019","2019","-","All sectors","02","Medium (50 to 249)","Euro Million","22857"
"TSA11C01","Value of Exports","2019","2019","-","All sectors","03","Large (250 or more)","Euro Million","109589"
"TSA11C01","Value of Exports","2019","2019","-","All sectors","99","Unknown","Euro Million","5421"
"TSA11C01","Value of Exports","2019","2019","-","All sectors","-","All Enterprises","Euro Million","151516"
"TSA11C01","Value of Exports","2020","2020","10","Agriculture and Food (01-03,10-11)","05","Micro (0 to 9)","Euro Million","942"
"TSA11C01","Value of Exports","2020","2020","10","Agriculture and Food (01-03,10-11)","01","Small (10 to 49)","Euro Million","481"
"TSA11C01","Value of Exports","2020","2020","10","Agriculture and Food (01-03,10-11)","02","Medium (50 to 249)","Euro Million","1532"
"TSA11C01","Value of Exports","2020","2020","10","Agriculture and Food (01-03,10-11)","03","Large (250 or more)","Euro Million","11005"
"TSA11C01","Value of Exports","2020","2020","10","Agriculture and Food (01-03,10-11)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","10","Agriculture and Food (01-03,10-11)","-","All Enterprises","Euro Million","13960"
"TSA11C01","Value of Exports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","05","Micro (0 to 9)","Euro Million","103"
"TSA11C01","Value of Exports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","01","Small (10 to 49)","Euro Million","321"
"TSA11C01","Value of Exports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","02","Medium (50 to 249)","Euro Million","5274"
"TSA11C01","Value of Exports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","03","Large (250 or more)","Euro Million","83284"
"TSA11C01","Value of Exports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","99","Unknown","Euro Million",""
"TSA11C01","Value of Exports","2020","2020","20","Chemicals and Pharmaceuticals (20-21)","-","All Enterprises","Euro Million","88983"
"TSA11C01","Value of Exports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","05","Micro (0 to 9)","Euro Million","641"
"TSA11C01","Value of Exports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","01","Small (10 to 49)","Euro Million","1304"
"TSA11C01","Value of Exports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","02","Medium (50 to 249)","Euro Million","4496"
"TSA11C01","Value of Exports","2020","2020","30","Other Manufacturing and Construction (05-09, 12-19, 22-43)","03","Large (250 or more)","Euro Million","24426"
